"age","education_num","capital_gain","capital_loss","hours_per_week","native_country","income","married","male","race_white","race_asian_pac_islander","race_amer_indian_eskimo","race_black","race_other"
39,13,2174,0,40," United-States",0,0,1,1,0,0,0,0
50,13,0,0,13," United-States",0,1,1,1,0,0,0,0
38,9,0,0,40," United-States",0,1,1,1,0,0,0,0
53,7,0,0,40," United-States",0,1,1,0,0,0,1,0
28,13,0,0,40," Cuba",0,1,0,0,0,0,1,0
37,14,0,0,40," United-States",0,1,0,1,0,0,0,0
49,5,0,0,16," Jamaica",0,1,0,0,0,0,1,0
52,9,0,0,45," United-States",1,1,1,1,0,0,0,0
31,14,14084,0,50," United-States",1,0,0,1,0,0,0,0
42,13,5178,0,40," United-States",1,1,1,1,0,0,0,0
37,10,0,0,80," United-States",1,1,1,0,0,0,1,0
30,13,0,0,40," India",1,1,1,0,1,0,0,0
23,13,0,0,30," United-States",0,0,0,1,0,0,0,0
32,12,0,0,50," United-States",0,0,1,0,0,0,1,0
34,4,0,0,45," Mexico",0,1,1,0,0,1,0,0
25,9,0,0,35," United-States",0,0,1,1,0,0,0,0
32,9,0,0,40," United-States",0,0,1,1,0,0,0,0
38,7,0,0,50," United-States",0,1,1,1,0,0,0,0
43,14,0,0,45," United-States",1,1,0,1,0,0,0,0
40,16,0,0,60," United-States",1,1,1,1,0,0,0,0
54,9,0,0,20," United-States",0,1,0,0,0,0,1,0
35,5,0,0,40," United-States",0,1,1,0,0,0,1,0
43,7,0,2042,40," United-States",0,1,1,1,0,0,0,0
59,9,0,0,40," United-States",0,1,0,1,0,0,0,0
56,13,0,0,40," United-States",1,1,1,1,0,0,0,0
19,9,0,0,40," United-States",0,0,1,1,0,0,0,0
39,9,0,0,80," United-States",0,1,1,1,0,0,0,0
49,9,0,0,40," United-States",0,1,1,1,0,0,0,0
23,12,0,0,52," United-States",0,0,1,1,0,0,0,0
20,10,0,0,44," United-States",0,0,1,0,0,0,1,0
45,13,0,1408,40," United-States",0,1,1,1,0,0,0,0
30,10,0,0,40," United-States",0,1,1,1,0,0,0,0
22,10,0,0,15," United-States",0,1,1,0,0,0,1,0
48,7,0,0,40," Puerto-Rico",0,0,1,1,0,0,0,0
21,10,0,0,40," United-States",0,0,1,1,0,0,0,0
19,9,0,0,25," United-States",0,1,0,1,0,0,0,0
48,12,0,0,40," United-States",0,1,1,1,0,0,0,0
31,5,0,0,43," United-States",0,1,1,1,0,0,0,0
53,13,0,0,40," United-States",0,1,1,1,0,0,0,0
24,13,0,0,50," United-States",0,1,1,1,0,0,0,0
49,9,0,0,40," United-States",0,1,0,1,0,0,0,0
25,9,0,0,35," United-States",0,0,1,1,0,0,0,0
57,13,0,0,40," United-States",1,1,1,0,0,0,1,0
53,9,0,0,38," United-States",0,1,1,1,0,0,0,0
44,14,0,0,40," United-States",0,1,0,1,0,0,0,0
41,11,0,0,40," United-States",0,1,1,1,0,0,0,0
29,11,0,0,43," United-States",0,0,1,1,0,0,0,0
25,10,0,0,40," United-States",0,1,0,0,0,0,0,1
47,15,0,1902,60," Honduras",1,1,0,1,0,0,0,0
50,13,0,0,55," United-States",1,1,1,1,0,0,0,0
47,9,0,0,60," United-States",0,1,1,1,0,0,0,0
43,10,0,0,40," United-States",1,1,1,1,0,0,0,0
46,3,0,0,40," Mexico",0,1,1,1,0,0,0,0
35,11,0,0,40," Puerto-Rico",0,1,1,1,0,0,0,0
41,9,0,0,48," United-States",0,1,1,1,0,0,0,0
30,9,5013,0,40," United-States",0,1,1,1,0,0,0,0
30,13,2407,0,40," United-States",0,1,1,1,0,0,0,0
48,9,0,0,40," United-States",0,1,1,1,0,0,0,0
42,16,0,0,45," United-States",1,1,1,1,0,0,0,0
29,10,0,0,58," United-States",0,1,1,1,0,0,0,0
